customer_id,name,email,phone,city_id
1,Sharon James,housemelinda@russell.com,755.646.4170,4
2,Roy Martin,martinaaron@yahoo.com,001-805-310-0330x9232,5
3,Michael Miles,smitchell@hotmail.com,193.745.2991x2419,1
4,Andrea Reid,jamesrobinson@gmail.com,4966319314,4
5,Danielle Ford,brian97@calhoun.net,+1-919-058-6518x50671,1
6,Timothy Watts,caseyjones@powell.com,(572)628-4987x76945,5
7,Frederick Tate,barnesbrandy@stewart.com,147.379.9650,3
8,Rodney Trujillo,randy47@hickman-walls.com,527.354.5494x8083,5
9,Austin Gentry,jonesjason@yahoo.com,367-837-7701,3
10,Michelle Lewis,nicole35@moore-bass.com,363-495-7885x6855,5
11,Dr. Marvin Thomas Jr.,sarah12@wilson-rodriguez.net,001-744-431-3518x233,2
12,Kimberly Burgess,juan35@watts.net,001-749-894-1343x5240,1
13,Kevin Cox,rebecca01@hotmail.com,001-824-008-4271x094,1
14,Brenda Snyder PhD,bradley52@hotmail.com,775.204.7116x7190,2
15,Brittany Moore,joycearnold@yahoo.com,(294)131-8699,3
16,Linda Cruz,jonesnicole@gardner.org,+1-386-774-9649x909,1
17,Julie King,tanderson@nolan-flynn.com,001-133-412-3281x2067,2
18,Terri Frazier,evelynestrada@yahoo.com,001-974-034-4713x493,1
19,Stephen Potter,sarayoung@gmail.com,(183)242-1024x99471,4
20,Gina Carter,vjohnson@patton-jenkins.com,464.887.7190x659,3
21,Aaron Bowen,kristinrodriguez@gmail.com,013-990-4902x787,4
22,Valerie Gill,jamessellers@yahoo.com,296-717-5655x125,3
23,Ashley Garrett,jeffreykeller@yahoo.com,(746)807-1545x16808,2
24,Katie Gonzalez,michelle45@hotmail.com,603.859.7703x482,3
25,Christopher Ashley,sheila14@gmail.com,771-093-2480x8613,3
26,Tamara George,rodriguezryan@hotmail.com,712-748-4677,2
27,Brian Cox DVM,gobrien@gmail.com,782.639.8214,3
28,Cynthia Allen,jonathanfletcher@gmail.com,001-658-404-4997x27875,1
29,Angela Dennis,ryan59@alvarado-martinez.com,886-753-3963x60576,5
30,Vanessa Patel,snguyen@yahoo.com,(270)289-5171x8702,2
31,Matthew Arroyo,robertbentley@adkins.biz,(217)459-6158x65780,5
32,Joseph Obrien,justin69@pena.com,+1-134-316-1172x400,2
33,Tanya Campos,donnacampbell@hotmail.com,045-562-3869x22219,2
34,Michelle Ross,cardenaskaren@hotmail.com,(937)923-7474x0748,4
35,Jacqueline Lam,lindsayhernandez@gmail.com,(175)946-4743,4
36,David Brown,xcarr@gibson.org,(713)695-9440x6409,3
37,Julian Chapman,psnyder@douglas.com,+1-097-439-5339x42104,5
38,Michael Brown,gregoryrubio@hotmail.com,095.214.5623x285,2
39,Andre Rivera,grantsamantha@gmail.com,842.474.5171x23685,3
40,Diana Washington,lauriecontreras@hotmail.com,604-817-5496,1
41,Miranda Khan,usalazar@hotmail.com,+1-513-709-8593x1746,2
42,Dana Kennedy,vmerritt@yahoo.com,200-471-1382,1
43,Brandon Hopkins,karen48@yahoo.com,(758)692-6179x6405,3
44,Jason Shields,scott43@rogers-orozco.com,773.515.8506,4
45,Matthew Lucas,jessebenson@lewis.info,317-139-0053x293,3
46,Nicholas Mcbride,clarkrobert@hotmail.com,839-335-2904,1
47,Corey Herrera,wwoods@molina-castaneda.biz,(284)210-2053,2
48,Clifford Ford,brobinson@johnson-rogers.biz,001-502-402-6811,5
49,Angela Morton,ncalhoun@johnson.com,758.917.8390x8470,3
50,Annette Pearson,dtaylor@williams.com,7661771159,2
